model,test_auc,test_accuracy,test_f1,test_mcc
IsolationForestHybridPCA,0.765,0.6,0.7142857142857143,0.3333333333333333
IsolationForestClinical,0.7525000000000001,0.575,0.7017543859649122,0.2847473987257497
Blend_Gaussian_IsoClinical,0.7462500000000001,0.6,0.7142857142857143,0.3333333333333333
SubgroupGaussianHybridPCA,0.6924999999999999,0.5,0.6666666666666666,0.0
OneClassSVMClinical,0.6725,0.475,0.6440677966101694,-0.1601281538050871
SubgroupGaussianClinical,0.665,0.6,0.7142857142857143,0.3333333333333333
LOFClinical,0.51,0.475,0.6440677966101694,-0.1601281538050871
