model,test_auc,test_accuracy,test_f1,test_mcc
Blend_CatBoost_KNN_RF,0.8,0.675,0.7111111111111111,0.3614784456460256
HybridRandomForest,0.79,0.625,0.7272727272727273,0.3779644730092272
HybridExtraTrees,0.79,0.625,0.7272727272727273,0.3779644730092272
HybridKNN,0.7725000000000001,0.55,0.6896551724137931,0.2294157338705617
ClinicalCatBoost,0.7649999999999999,0.55,0.6896551724137931,0.2294157338705617
HybridSVM,0.7575,0.525,0.6779661016949152,0.1601281538050871
ClinicalRandomForest,0.7549999999999999,0.55,0.6896551724137931,0.2294157338705617
HybridCatBoost,0.7525,0.5,0.6666666666666666,0.0
ClinicalBayesianRidge,0.665,0.575,0.6909090909090909,0.2267786838055363
