model,aggregate_auc,aggregate_accuracy,aggregate_f1,aggregate_mcc
BayesianRidge,0.7023353084698502,0.7548076923076923,0.8547008547008547,0.2694722863621233
ElasticNet,0.6964098989194841,0.7644230769230769,0.8587896253602305,0.3102707661573726
Lasso,0.6958289764145463,0.7548076923076923,0.8538681948424068,0.2650079028971744
XGBoost,0.6784013012664111,0.7740384615384616,0.8597014925373134,0.3516566576711776
SVM,0.6686418031834553,0.7067307692307693,0.8200589970501475,0.0921109927472484
CatBoost,0.667363773672592,0.7836538461538461,0.8672566371681416,0.3846161300209534
RandomForest,0.6554548623213664,0.75,0.8497109826589595,0.2421295091440259
GBDT,0.6550482165679098,0.7836538461538461,0.8648648648648649,0.3870336126807157
ExtraTrees,0.6343673753921226,0.7307692307692307,0.8390804597701149,0.1437925028280847
KNN,0.5755780178924131,0.7115384615384616,0.8275862068965517,0.0474677344279506
