model,test_auc,test_accuracy,test_f1,test_mcc
IsolationForestHybridPCA,0.7825,0.55,0.6896551724137931,0.2294157338705617
IsolationForestClinical,0.75,0.6,0.7037037037037037,0.280056016805602
Blend_Gaussian_IsoClinical,0.7275,0.625,0.7272727272727273,0.3779644730092272
SubgroupGaussianClinical,0.71,0.6,0.7142857142857143,0.3333333333333333
SubgroupGaussianHybridPCA,0.7025,0.5,0.6666666666666666,0.0
OneClassSVMClinical,0.6599999999999999,0.475,0.6440677966101694,-0.1601281538050871
LOFClinical,0.51,0.5,0.6153846153846154,0.0
