model,selected_params,cv_train_auc,cv_train_accuracy,cv_train_balanced_accuracy,cv_train_f1,cv_train_mcc,test_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,selected_threshold
HybridKNN,"{'n_neighbors': 7, 'weights': 'distance', 'select_k': 60}",0.6509180936661852,0.7857142857142857,0.6395708685785022,0.8676470588235294,0.31497047713078513,0.8125,0.7,0.7,0.625,1.0,0.7692307692307693,0.5,0.28500000000000003
HybridRandomForest,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2}",0.7305549824633792,0.7916666666666666,0.5852073447493296,0.8771929824561403,0.2555166230953627,0.7875,0.675,0.675,0.6060606060606061,1.0,0.7547169811320755,0.4605661864718383,0.4310565527023722
Blend_CatBoost_KNN_RF,"{'ClinicalCatBoost': 0.05, 'HybridKNN': 0.0, 'HybridRandomForest': 0.95}",0.7324118011140912,0.7916666666666666,0.6142975036104807,0.8745519713261649,0.29252123277105957,0.785,0.675,0.675,0.6060606060606061,1.0,0.7547169811320755,0.4605661864718383,0.4675953075951427
HybridSVM,"{'C': 1.5, 'kernel': 'rbf', 'gamma': 'scale', 'select_k': 60}",0.636063544460491,0.7857142857142857,0.5135135135135135,0.8791946308724832,0.14560508768625838,0.7775000000000001,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.016862443512550673
HybridExtraTrees,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2}",0.7220961419434702,0.7976190476190477,0.6278110171239942,0.8776978417266187,0.32030703829264334,0.7725,0.65,0.6499999999999999,0.59375,0.95,0.7307692307692307,0.375,0.5163990980189795
ClinicalRandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",0.6918712605735506,0.8154761904761905,0.619867959562616,0.8912280701754386,0.35945558842229,0.7625,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,0.3333333333333333,0.2076875
HybridCatBoost,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.04}",0.6981638126676294,0.7916666666666666,0.5755106251289458,0.8780487804878049,0.24300860312051872,0.7625,0.55,0.5499999999999999,0.5277777777777778,0.95,0.6785714285714286,0.16666666666666666,0.22429731596650354
ClinicalCatBoost,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05}",0.6657726428718795,0.8035714285714286,0.5831442129152052,0.8858131487889274,0.29125271902822814,0.73,0.55,0.5499999999999999,0.5277777777777778,0.95,0.6785714285714286,0.16666666666666666,0.05779475905371446
ClinicalBayesianRidge,"{'alpha_1': 1e-06, 'alpha_2': 1e-06}",0.708273158654838,0.7976190476190477,0.6278110171239942,0.8776978417266187,0.32030703829264334,0.69,0.575,0.575,0.5428571428571428,0.95,0.6909090909090909,0.2267786838055363,0.38655011511565995
