model,selected_params,cv_train_auc,cv_train_accuracy,cv_train_balanced_accuracy,cv_train_f1,cv_train_mcc,test_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,selected_threshold
IsolationForestHybridPCA,"{'n_estimators': 700, 'contamination': 0.5, 'random_state': 42, 'n_components': 12}",0.7507736744377965,0.8214285714285714,0.5945945945945946,0.8972602739726028,0.39234748022753124,0.7825,0.55,0.55,0.5263157894736842,1.0,0.6896551724137931,0.22941573387056174,-0.03042077272910909
IsolationForestClinical,"{'n_estimators': 400, 'contamination': 0.45, 'random_state': 42}",0.7437590262017741,0.8214285714285714,0.6624716319372808,0.8920863309352518,0.40716996393132626,0.75,0.6,0.6,0.5588235294117647,0.95,0.7037037037037037,0.280056016805602,-0.009169704464353917
Blend_Gaussian_IsoClinical,"{'SubgroupGaussianClinical': 0.5, 'IsolationForestClinical': 0.5}",0.7591293583659996,0.8333333333333334,0.6701052197235404,0.9,0.44515802926228937,0.7275,0.625,0.625,0.5714285714285714,1.0,0.7272727272727273,0.3779644730092272,0.13206845238095238
SubgroupGaussianClinical,{'n_clusters': 2},0.7526304930885083,0.8154761904761905,0.619867959562616,0.8912280701754386,0.35945558842229,0.71,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,0.3333333333333333,-47.33882931864575
SubgroupGaussianHybridPCA,"{'n_clusters': 3, 'n_components': 12}",0.7289044769960801,0.7797619047619048,0.5,0.8762541806020067,0.0,0.7025,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,-42.516405349226304
OneClassSVMClinical,"{'nu': 0.4, 'gamma': 'scale'}",0.7024963895192904,0.7857142857142857,0.5135135135135135,0.8791946308724832,0.14560508768625838,0.6599999999999999,0.475,0.475,0.48717948717948717,0.95,0.6440677966101694,-0.16012815380508713,-1.834012690125121
LOFClinical,"{'n_neighbors': 20, 'novelty': True, 'contamination': 0.5}",0.7037342686197647,0.7976190476190477,0.598720858262843,0.8802816901408451,0.2869353678487119,0.51,0.5,0.5,0.5,0.8,0.6153846153846154,0.0,-0.023396009666220158
