model,selected_params,cv_train_auc,cv_train_accuracy,cv_train_balanced_accuracy,cv_train_f1,cv_train_mcc,test_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,selected_threshold
IsolationForestHybridPCA,"{'n_estimators': 700, 'contamination': 0.5, 'random_state': 42, 'n_components': 12}",0.7443779657520115,0.8333333333333334,0.6991953785846916,0.8978102189781022,0.4638822349028723,0.765,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,0.3333333333333333,-0.007909730433680887
IsolationForestClinical,"{'n_estimators': 400, 'contamination': 0.45, 'random_state': 42}",0.7433463998349494,0.8333333333333334,0.6604085001031565,0.900709219858156,0.44083995477593374,0.7525000000000001,0.575,0.575,0.5405405405405406,1.0,0.7017543859649122,0.2847473987257497,-0.014991171647016827
Blend_Gaussian_IsoClinical,"{'SubgroupGaussianClinical': 0.25, 'IsolationForestClinical': 0.75}",0.7439653393851868,0.8333333333333334,0.6701052197235404,0.9,0.44515802926228937,0.7462500000000001,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,0.3333333333333333,0.12139136904761905
SubgroupGaussianHybridPCA,"{'n_clusters': 3, 'n_components': 12}",0.7346812461316277,0.7797619047619048,0.5,0.8762541806020067,0.0,0.6924999999999999,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,-49.231336618764345
OneClassSVMClinical,"{'nu': 0.4, 'gamma': 'scale'}",0.704353208170002,0.7857142857142857,0.532906952754281,0.8775510204081632,0.1605001227269805,0.6725,0.475,0.475,0.48717948717948717,0.95,0.6440677966101694,-0.16012815380508713,-1.4634119200633138
SubgroupGaussianClinical,{'n_clusters': 2},0.7315865483804416,0.7797619047619048,0.5,0.8762541806020067,0.0,0.665,0.6,0.6,0.5555555555555556,1.0,0.7142857142857143,0.3333333333333333,-55.88618582153035
LOFClinical,"{'n_neighbors': 20, 'novelty': True, 'contamination': 0.5}",0.707241592737776,0.7916666666666666,0.5367237466474107,0.8813559322033898,0.19964643906042204,0.51,0.475,0.475,0.48717948717948717,0.95,0.6440677966101694,-0.16012815380508713,-0.05152144842017887
