model,augmentation,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,micro_precision_mean,micro_precision_std,micro_recall_mean,micro_recall_std,micro_f1_mean,micro_f1_std
RF,True,0.7117305458768873,0.031526737079811226,0.7217653890824622,0.016932467538142936,0.9800000000000001,0.029814239699997216,0.8312714644028555,0.021741648589811136,0.5211876832844575,0.10150661461534408,0.3608826945412311,0.008466233769071468,0.49000000000000005,0.014907119849998608,0.41563573220142774,0.010870824294905568,0.7117305458768873,0.031526737079811226,0.7117305458768873,0.031526737079811226,0.7117305458768873,0.031526737079811226
DT,True,0.6292682926829268,0.07643763380471143,0.7373609436358897,0.06952631065169453,0.7681720430107527,0.0707907535606641,0.7503654213712563,0.05173845718965135,0.5158235581622679,0.12110030032972047,0.5070687502062232,0.11265909400733523,0.5159042033235581,0.11761706541151677,0.506039853542771,0.11346338643144852,0.6292682926829268,0.07643763380471143,0.6292682926829268,0.07643763380471143,0.6292682926829268,0.07643763380471143
SVM,True,0.6204413472706156,0.026978808052555755,0.7266443234185169,0.03400470032357549,0.7683870967741936,0.020663634208501192,0.7462641559627281,0.014288458528408857,0.5409416748126425,0.05815150365922796,0.4934664618535587,0.05810358183688525,0.5001026392961878,0.04795903424879806,0.494913805026249,0.05532987535767845,0.6204413472706156,0.026978808052555755,0.6204413472706156,0.026978808052555755,0.6204413472706156,0.026978808052555755
KNN,True,0.5814169570267131,0.036604718071808276,0.6859947663275837,0.013915993029767896,0.781505376344086,0.055427995537708656,0.7300137454786411,0.02748954459144617,0.460043173672206,0.05395307124086073,0.37910849427490295,0.06114447094036188,0.41651026392961876,0.04504758487155004,0.39500687273932056,0.049339345880825364,0.5814169570267131,0.036604718071808276,0.5814169570267131,0.036604718071808276,0.5814169570267131,0.036604718071808276
