model,augmentation,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,micro_precision_mean,micro_precision_std,micro_recall_mean,micro_recall_std,micro_f1_mean,micro_f1_std
SVM,False,0.7260162601626016,0.011021449298473754,0.7260162601626016,0.011021449298473754,1.0,0.0,0.8412245160460479,0.007409125480732986,0.43913815575105897,0.024536443115354443,0.3630081300813008,0.005510724649236877,0.5,0.0,0.42061225802302393,0.003704562740366493,0.7260162601626016,0.011021449298473754,0.7260162601626016,0.011021449298473754,0.7260162601626016,0.011021449298473754
RF,False,0.7164924506387921,0.02922816783895826,0.7231591173054588,0.015686882563969762,0.9866666666666667,0.029814239699997195,0.8345578493793813,0.02021477366902845,0.46811176278918215,0.03556617292771559,0.3615795586527294,0.007843441281984881,0.49333333333333335,0.014907119849998597,0.41727892468969063,0.010107386834514225,0.7164924506387921,0.02922816783895826,0.7164924506387921,0.02922816783895826,0.7164924506387921,0.02922816783895826
KNN,False,0.7112659698025552,0.03647782065711836,0.7285209505941214,0.013298907793709,0.9604301075268818,0.036132872299767256,0.8284606187851749,0.021219823815828962,0.4696562398175301,0.13002801097638275,0.5642604752970607,0.2795127764928509,0.5052150537634409,0.054330876523682736,0.4581863533486314,0.0749834561488958,0.7112659698025552,0.03647782065711836,0.7112659698025552,0.03647782065711836,0.7112659698025552,0.03647782065711836
DT,False,0.6295005807200929,0.0493577917790378,0.7288466157787978,0.020011834356023456,0.7819354838709678,0.09409493045378456,0.7521325271497336,0.042370313023042075,0.5001425545780385,0.05339546719642353,0.514478252944344,0.07079872417583143,0.5053616813294233,0.04162508567548747,0.4988703918137777,0.04335468163642151,0.6295005807200929,0.0493577917790378,0.6295005807200929,0.0493577917790378,0.6295005807200929,0.0493577917790378
